Description	Accession
EST: HUMGS0007162, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00463_at
EST: HUMGS0007866, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00476_at
EST: HUMGS0008169, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00627_at
Survival of motor neuron protein interacting protein 1	C00695_s_at
ATPase type IV, phospholipid-transporting (P-type),(putative)	C00771_at
EST: HUMGS0003083, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00808_s_at
Homo sapiens clone 24733 mRNA sequence	C00810_s_at
EST: HUMGS0007818, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01139_at
Karyopherin alpha 4 (importin alpha 3)	C01169_at
EST: HUMGS0007992, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01257_at
Integral membrane protein 2B	C01286_s_at
EST: HUMGS0005210, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01306_at
Homo sapiens clone 23904 mRNA sequence	C01360_at
H.sapiens gene from PAC 426I6, similar to syntaxin 7	C01394_at
EST: HUMGS0008379, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01397_at
EST: HUMGS0008391, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01409_s_at
EST: HUMGS0008522, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01527_at
EST: HUMGS0008537, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01541_at
EST: HUMGS0008548, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01552_at
EST: HUMGS0008630, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01622_at
EST: HUMGS0012545, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01686_at
F1Fo-ATPase synthase f subunit	C01687_s_at
EST: HUMGS0002068, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01688_s_at
Homo sapiens serum-inducible kinase mRNA, complete cds	C01714_at
Homo sapiens PNG pseudogene, complete sequence	C01721_at
EST: HUMGS0003679, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01747_at
EST: HUMGS0003683, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01750_at
EST: HUMGS0003713, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01765_at
EST: HUMGS0003714, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01766_s_at
EST: HUMGS0003714, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01766_r_at
EST: HUMGS0003730, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01778_s_at
EST: HUMGS0003737, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01782_at
EST: HUMGS0003746, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01790_at
EST: HUMGS0003762, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01803_r_at
EST: HUMGS0003762, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01803_s_at
EST: HUMGS0003774, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01811_f_at
EST: HUMGS0003801, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01833_at
Homo sapiens mRNA for hypothetical protein	C01852_at
EST: HUMGS0003856, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C01877_at
KIAA0447 gene product	C02016_at
EST: HUMGS0005345, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02044_s_at
EST: HUMGS0005552, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02049_s_at
Homo sapiens mRNA for beta-tubulin folding cofactor D	C02050_at
EST: HUMGS0005644, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02053_at
EST: HUMGS0006419, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02099_s_at
EST: HUMGS0006474, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02143_s_at
EST: HUMGS0006510, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02170_at
EST: HUMGS0006536, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02193_at
EST: HUMGS0008889, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02352_s_at
Homo sapiens C21orf4 mRNA, complete cds	C02369_at
EST: HUMGS0009780, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02374_s_at
Human mRNA containing an Alu repeat and its reverse complement	C02375_at
EST: HUMGS0010489, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02381_at
EST: HUMGS0010652, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02386_s_at
EST: HUMGS0012342, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02459_at
EST: HUMGS0012343, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02460_at
Homo sapiens RanBP7/importin 7 mRNA, complete cds	C02472_at
EST: HUMGS0012376, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02486_at
EST: HUMGS0012393, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02500_s_at
EST: HUMGS0012418, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02522_at
EST: HUMGS0012430, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02532_at
EST: HUMGS0012448, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02548_s_at
EST: HUMGS0012449, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02549_at
EST: HUMGS0012483, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C02582_at
Homo sapiens clone 24700 unknown mRNA, partial cds	C06238_at
Homo sapiens C21orf4 mRNA, complete cds	C06244_at
EST: similar to none, mRNA sequence. (from Genbank)	C06268_at
EST: similar to none, mRNA sequence. (from Genbank)	C06269_at
Homo sapiens clone FBD3 Cri-du-chat critical region mRNA	C06270_at
EST: similar to none, mRNA sequence. (from Genbank)	C06271_at
EST: similar to none, mRNA sequence. (from Genbank)	C06279_at
EST: Human fetal brain cDNA 5'-end GEN-037E11, mRNA sequence. (from Genbank)	C14203_s_at
EST: Human fetal brain cDNA 5'-end GEN-038C09, mRNA sequence. (from Genbank)	C14215_s_at
EST: Human fetal brain cDNA 5'-end GEN-039B03, mRNA sequence. (from Genbank)	C14228_f_at
EST: Human fetal brain cDNA 5'-end GEN-043C09, mRNA sequence. (from Genbank)	C14290_s_at
EST: Human fetal brain cDNA 5'-end GEN-055A09, mRNA sequence. (from Genbank)	C14412_s_at
EST: Human fetal brain cDNA 5'-end GEN-059D03, mRNA sequence. (from Genbank)	C14448_at
EST: Human fetal brain cDNA 5'-end GEN-064E07, mRNA sequence. (from Genbank)	C14485_s_at
EST: Human fetal brain cDNA 5'-end GEN-097G05, mRNA sequence. (from Genbank)	C14890_at
Homo sapiens Chromosome 16 BAC clone CIT987SK-A-69G12	C14915_at
Keratin 8	C15160_at
Human fetal brain cDNA 5'-end GEN-140D09, mRNA sequence. (from Genbank)	C15401_at
EST: Human fetal brain cDNA 5'-end GEN-169G03, mRNA sequence. (from Genbank)	C15772_at
EST: Human fetal brain cDNA 5'-end GEN-176A10, mRNA sequence. (from Genbank)	C15810_at
EST: Human fetal brain cDNA 5'-end GEN-401C06, mRNA sequence. (from Genbank)	C15871_at
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1 (7kD, MNLL)	C15910_s_at
EST: Human fetal brain cDNA 5'-end GEN-417B02, mRNA sequence. (from Genbank)	C15965_at
H. sapiens cDNA similar to C. elegans RNA binding protein U14946, Q10572, complete cds	C16002_at
EST: Human aorta cDNA 5'-end GEN-234B03, mRNA sequence. (from Genbank)	C16161_s_at
NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1 (6kD, KFYI)	C16248_at
EST: Human aorta cDNA 5'-end GEN-259H09, mRNA sequence. (from Genbank)	C16281_s_at
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6 (17kD, B17)	C16329_at
Actin-related protein 2	C16379_at
EST: Human aorta cDNA 5'-end GEN-312H05, mRNA sequence. (from Genbank)	C16420_s_at
Receptor-interacting serine-threonine kinase 2	C16494_at
Homo sapiens heterogeneous nuclear ribonucleoprotein R mRNA, complete cds	C16574_at
KIAA0575 gene product	C16652_at
EST: Human placenta cDNA 5'-end GEN-539G01, mRNA sequence. (from Genbank)	C17139_at
EST: Human placenta cDNA 5'-end GEN-543A11, mRNA sequence. (from Genbank)	C17282_at
EST: Human placenta cDNA 5'-end GEN-545E12, mRNA sequence. (from Genbank)	C17373_at
Homo sapiens mRNA for KIAA0875 protein, partial cds	C17384_at
Human placenta cDNA 5'-end GEN-549B04, mRNA sequence. (from Genbank)	C17548_at
EST: Human placenta cDNA 5'-end GEN-551E02, mRNA sequence. (from Genbank)	C17704_at
EST: Human placenta cDNA 5'-end GEN-555A11, mRNA sequence. (from Genbank)	C17938_at
Human tumor susceptiblity protein (TSG101) mRNA, complete cds	C18029_at
EST: Human placenta cDNA 5'-end GEN-562C08, mRNA sequence. (from Genbank)	C18429_at
POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1)	D10216_s_at
Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)	D10537_s_at-2
Formyl peptide receptor-like 1	D10922_s_at-2
Cytochrome P450, subfamily IVF, polypeptide 3 (leukotriene B4 omega hydroxylase)	D12620_s_at-2
Pyruvate kinase, liver and RBC	D13243_s_at
HGF activator	D14012_s_at
Human mRNA for LTG19. (from Genbank)	D14539_at
Epimorphin	D14582_s_at
Coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	D16611_s_at-2
Histidine ammonia-lyase	D16626_at-2
Drebrin 1	D17530_s_at
Human mRNA for zona-pellucida-binding protein (sp38), complete cds	D17570_s_at-2
Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	D17716_at-2
Cadherin 11 (OB-cadherin, osteoblast)	D21254_s_at
Homo sapiens mRNA for KIAA0864 protein, partial cds	D23673_at-2
KIAA0014 gene product	D25216_at-2
KIAA0036 gene product	D25278_at-2
Diacylglycerol kinase, gamma (90kD)	D26135_at-2
A disintegrin and metalloprotease domain 8	D26579_at-2
Human mRNA for MOBP (myelin-associated oligodendrocytic basic protein), complete cds, clone hOPRP1	D28113_s_at
Human mRNA for MOBP (myelin-associated oligodendrocytic basic protein), complete cds, clone hOPRP2	D28114_at-2
Human mRNA for DB1, complete cds	D28118_at-2
Human mRNA for unknown product, partial cds	D29810_at-2
PHOSPHATIDYLINOSITOL	D30037_at-2
Human mRNA for KIAA0113 gene, partial cds	D30755_at-2
KIAA0050 gene product	D30758_at-2
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D30851_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D30921_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D30930_s_at
Kinesin family protein 3B	D30946_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D30949_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D30954_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31058_s_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31091_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31094_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31111_at
Ribosome binding protein 1 (dog 180kD homolog)	D31117_at
Clathrin adaptor complex 1, sigma 1B subunit	D31120_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31134_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31157_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31161_s_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31167_s_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31184_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31225_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31263_at
Homo sapiens mRNA for smallest subunit of ubiquinol-cytochrome c reductase, complete cds	D31286_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31289_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31294_at
Protein tyrosine phosphatase type IVA, member 2	D31305_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31313_s_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31352_at
H.sapiens novel gene, similar to mouse Dynein light chain AB010031	D31381_at
Homo sapiens clone 638 unknown mRNA, complete sequence	D31389_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31417_at
Breakpoint cluster region protein, uterine leiomyoma, 1; barrier to autointegration factor	D31446_at
Homo sapiens clone 23565 unknown mRNA, partial cds	D31483_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31544_s_at
EST: Human fetal-lung cDNA 5'-end sequence, mRNA sequence. (from Genbank)	D31550_at
Nuclear cap binding protein, 80kD	D32002_s_at-2
Syntaxin 1B	D37933_s_at
Thromboxane A2 receptor	D38081_at-2
Collagen, type XIX, alpha 1	D38163_s_at-2
DNA2 (DNA replication helicase, yeast, homolog)-like	D42046_at-2
Homo sapiens mRNA for zinc finger protein, complete cds	D45213_at
EST: Human brain cDNA, mRNA sequence. (from Genbank)	D45278_at
EST: Human brain cDNA, mRNA sequence. (from Genbank)	D45288_at
EST: Human brain cDNA, mRNA sequence. (from Genbank)	D45304_at
EST: Human brain cDNA, mRNA sequence. (from Genbank)	D45319_at
EST: Human brain cDNA, mRNA sequence. (from Genbank)	D45332_at
Prefoldin 1	D45333_at
Endothelin converting enzyme 1	D49471_s_at
U2 small nuclear ribonucleoprotein auxiliary factor, small subunit 1	D49676_s_at
Homo sapiens mRNA for 6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase, complete cds	D49817_at-2
Interleukin 18 (interferon-gamma-inducing factor)	D49950_at-2
Proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	D50063_at-2
Potassium inwardly-rectifying channel, subfamily J, member 8	D50312_at-2
Homo sapiens mRNA for membrane-type matrix metalloproteinase 3, complete cds. (from Genbank)	D50477_s_at-2
UDP-glucose ceramide glucosyltransferase	D50840_at-2
Human mRNA for KIAA0128 gene, partial cds	D50918_at-2
KIAA0138 gene product	D50928_at-2
Homo sapiens mRNA for KIAA0871 protein, complete cds	D51736_at
Homo sapiens surf5c mRNA, clone 10.9	D51895_at
EST: Human fetal brain cDNA 5'-end GEN-082H01, mRNA sequence. (from Genbank)	D52609_s_at
Human clone iota unknown protein mRNA, complete cds	D52791_at
Endosulfine alpha	D52818_s_at
Ribosomal protein S26	D53639_at
KIAA0336 gene product	D54358_at
Calmodulin 1 (phosphorylase kinase, delta)	D54949_at
Ribosomal protein S26	D55051_i_at
EST: Human fetal brain cDNA 5'-end GEN-404F02, mRNA sequence. (from Genbank)	D55869_s_at
Human amino acid transport-related protein mRNA, complete cds	D56411_at
EST: Human fetal brain cDNA 5'-end GEN-428F04, mRNA sequence. (from Genbank)	D56433_s_at
H.sapiens mRNA for p40	D56558_at
EST: Human aorta cDNA 5'-end GEN-295D09, mRNA sequence. (from Genbank)	D57341_at
EST: Human aorta cDNA 5'-end GEN-302C09, mRNA sequence. (from Genbank)	D57428_s_at
EST: Human aorta cDNA 5'-end GEN-310B08, mRNA sequence. (from Genbank)	D57538_s_at
SIN3-associated polypeptide, 30-kD	D57622_at
EST: Human aorta cDNA 5'-end GEN-323G06, mRNA sequence. (from Genbank)	D57737_at
H.sapiens mRNA for Sec23A isoform, 2748bp	D57823_at
Homo sapiens clone 24775 mRNA sequence	D57916_s_at
EST: Human aorta cDNA 5'-end GEN-339A05, mRNA sequence. (from Genbank)	D57975_at
EST: Human aorta cDNA 5'-end GEN-341A10, mRNA sequence. (from Genbank)	D58019_s_at
EST: Human aorta cDNA 5'-end GEN-341C11, mRNA sequence. (from Genbank)	D58024_s_at
Cytochrome c oxidase subunit 11	D58082_at
EST: Human aorta cDNA 5'-end GEN-347F12, mRNA sequence. (from Genbank)	D58115_s_at
EST: Human aorta cDNA 5'-end GEN-354E06, mRNA sequence. (from Genbank)	D58189_s_at
EST: Human aorta cDNA 5'-end GEN-357G10, mRNA sequence. (from Genbank)	D58231_s_at
EST: Human aorta cDNA 5'-end GEN-365E05, mRNA sequence. (from Genbank)	D58343_at
Homo sapiens mRNA for KIAA0573 protein, partial cds	D58604_s_at
H.sapiens mRNA for CBP20	D59253_at-2
EST: Human fetal brain cDNA 5'-end GEN-053D06, mRNA sequence. (from Genbank)	D59642_at
EST: Human fetal brain cDNA 5'-end GEN-143D03, mRNA sequence. (from Genbank)	D60964_at
Human fetal brain cDNA 5'-end GEN-157G09, mRNA sequence. (from Genbank)	D61111_at
EST: Human fetal brain cDNA 5'-end GEN-173B03, mRNA sequence. (from Genbank)	D61259_at
EST: Human fetal brain cDNA 5'-end GEN-405D05, mRNA sequence. (from Genbank)	D61469_at
Human fetal brain cDNA 5'-end GEN-421F03, mRNA sequence. (from Genbank)	D61596_at
EST: Human fetal brain cDNA 5'-end GEN-430A03, mRNA sequence. (from Genbank)	D61676_at
EST: Human aorta cDNA 5'-end GEN-218G01, mRNA sequence. (from Genbank)	D61871_r_at
EST: Human aorta cDNA 5'-end GEN-229G02, mRNA sequence. (from Genbank)	D61991_at
EST: Human aorta cDNA 5'-end GEN-238D04, mRNA sequence. (from Genbank)	D62103_s_at
Human aorta cDNA 5'-end GEN-273B12, mRNA sequence. (from Genbank)	D62403_at
EST: Human aorta cDNA 5'-end GEN-292H10, mRNA sequence. (from Genbank)	D62504_s_at
Osteoglycin (osteoinductive factor)	D62584_at
EST: Human aorta cDNA 5'-end GEN-303G12, mRNA sequence. (from Genbank)	D62588_at
EST: Human aorta cDNA 5'-end GEN-304G05, mRNA sequence. (from Genbank)	D62600_s_at
EST: Human aorta cDNA 5'-end GEN-308A06, mRNA sequence. (from Genbank)	D62628_at
EST: Human aorta cDNA 5'-end GEN-308H02, mRNA sequence. (from Genbank)	D62633_f_at
EST: Human aorta cDNA 5'-end GEN-345B11, mRNA sequence. (from Genbank)	D62965_at
EST: Human aorta cDNA 5'-end GEN-360F12, mRNA sequence. (from Genbank)	D63079_s_at
Platelet-activating factor acetylhydrolase, isoform Ib, beta subunit (30kD)	D63390_at-2
EST: Human placenta cDNA 5'-end GEN-502F04, mRNA sequence. (from Genbank)	D78676_at
EST: Human placenta cDNA 5'-end GEN-503A05, mRNA sequence. (from Genbank)	D78680_at
Homo sapiens mRNA for KIAA0914 protein, complete cds	D78725_at
EST: Human placenta cDNA 5'-end GEN-527F11, mRNA sequence. (from Genbank)	D78947_at
EST: Human placenta cDNA 5'-end GEN-530B11, mRNA sequence. (from Genbank)	D79052_s_at
EST: Human placenta cDNA 5'-end GEN-531D07, mRNA sequence. (from Genbank)	D79100_at
Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	D79276_at
Human aorta cDNA 5'-end GEN-281C02, mRNA sequence. (from Genbank)	D79565_at
Human aorta cDNA 5'-end GEN-281G04, mRNA sequence. (from Genbank)	D79572_at
EST: Human aorta cDNA 5'-end GEN-286G10, mRNA sequence. (from Genbank)	D79601_i_at
EST: Human aorta cDNA 5'-end GEN-286G10, mRNA sequence. (from Genbank)	D79601_f_at
EST: Human aorta cDNA 5'-end GEN-286H04, mRNA sequence. (from Genbank)	D79603_at
EST: Human aorta cDNA 5'-end GEN-306B07, mRNA sequence. (from Genbank)	D79687_at
EST: Human aorta cDNA 5'-end GEN-327F09, mRNA sequence. (from Genbank)	D79791_s_at
EST: Human aorta cDNA 5'-end GEN-331C09, mRNA sequence. (from Genbank)	D79819_at
EST: Human aorta cDNA 5'-end GEN-351C04, mRNA sequence. (from Genbank)	D79891_at
Human mRNA for KIAA0180 gene, partial cds. (from Genbank)	D80002_at-2
KIAA0189 gene product	D80011_at-2
EST: Human fetal brain cDNA 5'-end GEN-060B05, mRNA sequence. (from Genbank)	D80304_at
Homo sapiens RET finger protein-like 1 antisense transcript, partial	D80620_at
Homo sapiens clone 24736 mRNA sequence	D80897_at
EST: Human fetal brain cDNA 5'-end GEN-116A01, mRNA sequence. (from Genbank)	D80914_at
Homo sapiens mRNA expressed in placenta	D81308_s_at
Polymerase (RNA) II (DNA directed) polypeptide L (7.6kD)	D81608_at
EST: Human fetal brain cDNA 5'-end GEN-181D03, mRNA sequence. (from Genbank)	D81655_at
EST: Human fetal brain cDNA 5'-end GEN-400H08, mRNA sequence. (from Genbank)	D81705_at
Human Src-like adapter protein mRNA, complete cds	D81809_at
Heterogeneous nuclear ribonucleoprotein D-like	D81925_at
